book,day,ml_winnings,spread_winnings,total_winnings,agg_winnings,season
worst,2018-04-28,-17.65,-50.00,45.45,-22.19,17-18
worst,2018-04-29,5.52,-3.63,44.47,46.35,17-18
worst,2018-04-30,-25.00,-25.00,22.12,-27.88,17-18
worst,2018-05-01,-21.89,44.06,-2.27,19.90,17-18
worst,2018-05-02,-25.00,21.55,22.73,19.28,17-18
worst,2018-05-03,-50.00,-3.07,44.47,-8.60,17-18
worst,2018-05-04,-22.50,44.26,-3.26,18.50,17-18
worst,2018-05-05,-50.00,45.05,-50.00,-54.95,17-18
worst,2018-05-06,18.36,-3.26,-2.27,12.83,17-18
worst,2018-05-07,-17.43,-50.00,-3.07,-70.50,17-18
worst,2018-05-08,3.67,43.48,45.25,92.40,17-18
worst,2018-05-09,-25.00,-25.00,22.73,-27.27,17-18
worst,2018-05-13,-25.00,-25.00,-25.00,-75.00,17-18
worst,2018-05-14,23.81,21.74,25.00,70.55,17-18
worst,2018-05-15,-25.00,-25.00,-25.00,-75.00,17-18
worst,2018-05-16,-25.00,-25.00,-25.00,-75.00,17-18
worst,2018-05-19,8.33,-25.00,-25.00,-41.67,17-18
worst,2018-05-20,6.58,-25.00,-25.00,-43.42,17-18
worst,2018-05-21,0.25,-25.00,21.74,-3.01,17-18
worst,2018-05-22,-25.00,22.73,-25.00,-27.27,17-18
worst,2018-05-23,-25.00,-25.00,-25.00,-75.00,17-18
worst,2018-05-24,-25.00,-25.00,-25.00,-75.00,17-18
worst,2018-05-25,7.51,-25.00,22.73,5.23,17-18
worst,2018-05-26,2.34,-25.00,-25.00,-47.66,17-18
worst,2018-05-27,26.25,22.52,-25.00,23.77,17-18
worst,2018-05-28,8.93,21.74,-25.00,5.67,17-18
worst,2018-05-31,2.63,22.52,22.73,47.88,17-18
worst,2018-06-03,3.36,-25.00,21.74,0.10,17-18
worst,2018-06-06,11.42,22.73,-25.00,9.14,17-18
worst,2018-06-08,11.91,-25.00,-25.00,-38.09,17-18
worst,2018-10-16,-23.44,-2.27,-50.00,-75.71,18-19
worst,2018-10-17,-8.53,56.90,-37.35,11.02,18-19
worst,2018-10-18,-47.73,-27.27,-75.00,-150.00,18-19
worst,2018-10-19,36.99,8.08,-34.09,10.99,18-19
worst,2018-10-20,55.65,32.58,-106.82,-18.59,18-19
worst,2018-10-21,-100.00,41.98,-5.15,-63.17,18-19
worst,2018-10-22,96.81,57.23,13.23,167.27,18-19
worst,2018-10-23,-13.21,25.00,19.66,31.45,18-19
worst,2018-10-24,-21.54,7.80,104.63,90.89,18-19
worst,2018-10-25,-12.12,40.30,-5.53,22.65,18-19
worst,2018-10-26,-61.99,-34.39,-31.82,-128.20,18-19
worst,2018-10-27,-128.84,-130.53,60.57,-198.81,18-19
worst,2018-10-28,32.08,-6.71,-100.00,-74.63,18-19
worst,2018-10-29,13.85,-36.08,-34.09,-56.32,18-19
worst,2018-10-30,-25.58,-12.05,38.64,1.00,18-19
worst,2018-10-31,37.48,14.92,64.92,117.32,18-19
worst,2018-11-01,-39.87,-103.26,-6.82,-149.94,18-19
worst,2018-11-02,23.75,130.14,37.65,191.54,18-19
worst,2018-11-03,40.83,-57.22,36.67,20.29,18-19
worst,2018-11-04,-57.50,-33.21,108.80,18.09,18-19
worst,2018-11-05,35.03,105.13,-82.81,57.35,18-19
worst,2018-11-06,-29.36,-4.95,88.34,54.03,18-19
worst,2018-11-07,45.46,-61.44,-59.69,-75.67,18-19
worst,2018-11-08,-5.74,41.21,-52.27,-16.80,18-19
worst,2018-11-09,-51.14,-32.62,18.18,-65.57,18-19
worst,2018-11-10,-78.30,34.40,-11.36,-55.26,18-19
worst,2018-11-11,29.11,88.64,-7.82,109.92,18-19
worst,2018-11-12,135.65,35.12,-11.97,158.80,18-19
worst,2018-11-13,-47.92,19.66,-28.26,-56.52,18-19
