team,pts,game_possessions,game_code,home_team_bin,efg_pct,tov_pct,orb_pct,fta_per_fga_pct,Model_Prediction,Best_Spread,Best_Moneyline,Best_Total,Spread_Grade,Total_Grade,Moneyline_Grade,Best_Book,date
BOS,126,108.0359837,201903140BOS,1,0.552,0.107,0.204,0.268,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,3/14/2019
CHO,103,100.4101554,201810270PHI,0,0.437,0.079,0.176,0.253,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/27/2018
PHI,105,100.4101554,201810270PHI,1,0.44,0.095,0.264,0.33,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/27/2018
ATL,92,105.4902115,201810290PHI,0,0.415,0.112,0.172,0.223,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/29/2018
PHI,113,105.4902115,201810290PHI,1,0.485,0.151,0.302,0.182,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/29/2018
POR,97,95.05922144,201902270BOS,0,0.456,0.1,0.283,0.222,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/27/2019
BOS,92,95.05922144,201902270BOS,1,0.494,0.15,0.186,0.116,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,2/27/2019
ORL,115,95.49138076,201810200PHI,0,0.544,0.123,0.298,0.244,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/20/2018
PHI,116,95.49138076,201810200PHI,1,0.569,0.092,0.271,0.106,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/20/2018
IND,74,94.78184868,201904140BOS,0,0.369,0.122,0.158,0.25,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/14/2019
